市町村コード,都道府県名及び市町村名,NO,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
43100,熊本県熊本市,97,白川公園,熊本県熊本市中央区草葉町5,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.805159,130.714967,
43100,熊本県熊本市,98,中央公民館,熊本県熊本市中央区草葉町5-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.804732,130.715552,
43100,熊本県熊本市,99,帯山西小学校,熊本県熊本市中央区帯山1-29-8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.802307,130.741402,
43100,熊本県熊本市,100,帯山中学校,熊本県熊本市中央区帯山1-35-32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.801179,130.74504,
43100,熊本県熊本市,101,帯山小学校,熊本県熊本市中央区帯山4-11-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.80193,130.749869,
43100,熊本県熊本市,102,帯山７丁目どんぐり公園,熊本県熊本市中央区帯山7-18,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.807334,130.758215,
43100,熊本県熊本市,103,子飼橋上流左岸,熊本県熊本市中央区大江1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.811298,130.72325,
43100,熊本県熊本市,104,熊本学園大学,熊本県熊本市中央区大江2-5-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.804308,130.729448,
43100,熊本県熊本市,105,白川中学校,熊本県熊本市中央区大江3-1-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.80339,130.722104,
43100,熊本県熊本市,106,ゆめマート大江,熊本県熊本市中央区大江3-2-40,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.803071,130.726417,
43100,熊本県熊本市,107,大江小学校,熊本県熊本市中央区大江3-5-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.801929,130.725461,
43100,熊本県熊本市,108,九州学院高校,熊本県熊本市中央区大江5-2-1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.797825,130.721046,
43100,熊本県熊本市,109,開新高校,熊本県熊本市中央区大江6-1-33,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.80003629,130.7261754,
43100,熊本県熊本市,110,大江交流室・公民館,熊本県熊本市中央区大江6-1-85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.798861,130.725085,
43100,熊本県熊本市,111,熊本大学大江体育館,熊本県熊本市中央区大江本町5-1,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,32.794533,130.722009,
43100,熊本県熊本市,112,熊本ＹＭＣＡ本館,熊本県熊本市中央区段山本町4-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.806696,130.695217,
43100,熊本県熊本市,113,銀座橋一帯白川川岸,熊本県熊本市中央区中央街,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.799777,130.712517,
43100,熊本県熊本市,114,慶徳小学校,熊本県熊本市中央区中央区山崎町72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.797031,130.701795,
43100,熊本県熊本市,115,市立必由館高校,熊本県熊本市中央区坪井4-15-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.815799,130.714035,
